total_number_account,Amount_Allocated,Amount_Collected,Account_number,Cusstomer Name ,No_unique_visit,Bucket,Agency Name,Regions,Zone,Sector,product_type
2136,158546,42753,E45310077056130B,Dstvoi Uzkrdw,15,SMA 2,Agency 7,Delhi,North + East India,Food and Beverage,Business Loan
542,26847,26846,E71797667379226B,Dsbvsk Qmhpip,18,SMA 1,Agency 6,Haryana,North + West India,Automotive,Car Loan
1758,131431,64906,O12120517656004R,Mwwdkn Dphtva,10,SMA 2,Agency 7,Himachal Pradesh,North + Northeast India,Telecommunications,Education Loan
860,26407,17745,D85940417253184U,Zuoykv Idwoyw,19,SMA 0,Agency 1,Jammu and Kashmir,North + Central India,Food and Beverage,Gold Loan
301,57871,57870,G31983499823946O,Lgxpix Ucvrsa,19,SMA 2,Agency 6,Punjab,North + Union Territories,Food and Beverage,Personal Loan
1134,32926,32925,G52065083598156Y,Crutvg Nimimm,20,SMA 1,Agency 8,Rajasthan,South + East India,Healthcare,Education Loan
1566,238084,53323,L90812768940990E,Hsbsef Zymjwj,12,SMA 1,Agency 5,Uttar Pradesh,South + West India,Retail,Mortgage Loan
1731,222231,190716,B28238033676359R,Ikuziu Suvkbj,18,SMA 0,Agency 5,Uttarakhand,South + Northeast India,Pharmaceuticals,Business Loan
1319,202317,74577,U29565749382882C,Luqucn Cwbtqf,16,SMA 0,Agency 1,Andhra Pradesh,South + Central India,Energy,Education Loan
841,103646,29544,W20076112184918I,Iryzey Bxowsz,18,SMA 0,Agency 6,Karnataka,South + Union Territories,Retail,Gold Loan
624,243896,186504,V90139417421270Y,Byminu Zfsynv,19,SMA 0,Agency 2,Kerala,East + West India,Retail,Consumer Durable Loan
2363,20461,20460,E71070631284482Y,Dbrxvj Pvdplb,17,SMA 2,Agency 1,Tamil Nadu,East + Northeast India,Telecommunications,Overdraft Facility
1686,209092,30025,I59099932297229U,Lbycok Guutjy,16,SMA 2,Agency 5,Telangana,East + Central India,Technology,Gold Loan
1751,99418,6898,T94882611089231T,Rrpwub Tsgstv,14,SMA 0,Agency 4,Bihar,East + Union Territories,Pharmaceuticals,Personal Loan
1215,116884,91542,G62978868691028O,Zeboam Mrkxpw,11,SMA 1,Agency 8,Jharkhand,West + Northeast India,Telecommunications,Car Loan
645,15005,15004,S78123945105354A,Sowktf Jqwugl,14,SMA 1,Agency 6,Odisha,West + Central India,Telecommunications,Loan Against Property
526,229063,3827,D97496266296926M,Wrulag Ddynwy,13,SMA 0,Agency 3,West Bengal,West + Union Territories,Pharmaceuticals,Gold Loan
1987,16345,16344,B97642744511684U,Ompenb Niqttr,13,SMA 0,Agency 4,Sikkim,Northeast + Central India,Energy,Education Loan
747,217103,138655,E87339294942605B,Hxgagf Vmvaod,16,SMA 1,Agency 1,Andaman and Nicobar Islands,Northeast + Union Territories,Pharmaceuticals,Loan Against Property
932,27444,27443,H90070557716895X,Wfyjxy Nghlji,19,SMA 1,Agency 2,Goa,Central + Union Territories,Finance,Home Loan
472,14725,14724,L35249011869606B,Qlxmzv Nmholb,12,SMA 2,Agency 5,Gujarat,North + East India,Retail,Mortgage Loan
1119,130970,130969,T25539377073422X,Giqvip Wnqctn,14,SMA 1,Agency 2,Maharashtra,North + West India,Telecommunications,Overdraft Facility
461,125941,125940,T11504942893462V,Ftgkfb Xvaemo,14,SMA 0,Agency 1,Dadra and Nagar Haveli and Daman and Diu,North + Northeast India,Food and Beverage,Business Loan
2077,216115,131890,X32248614148780I,Ryrvba Xcwkkd,19,SMA 2,Agency 1,Arunachal Pradesh,North + Central India,Pharmaceuticals,Mortgage Loan
729,25092,25091,V54666882628307U,Tkpope Gcdgly,17,SMA 0,Agency 1,Assam,North + Union Territories,Food and Beverage,Loan Against Property
2405,80989,39145,M40564308603256O,Fauubi Vofbnl,14,SMA 2,Agency 3,Manipur,South + East India,Finance,Consumer Durable Loan
1550,185941,182802,S78472017121387K,Knafyn Dbgkvz,20,SMA 2,Agency 6,Meghalaya,South + West India,Telecommunications,Overdraft Facility
1004,151924,53075,F73919319101298Z,Pxqoco Pztdwl,11,SMA 2,Agency 8,Mizoram,South + Northeast India,Retail,Personal Loan
745,33975,9855,W27750340268569C,Sbmiad Xwpgjb,18,SMA 0,Agency 5,Nagaland,South + Central India,Pharmaceuticals,Car Loan
1135,35441,35440,F24052585847182N,Onqcsp Cmdmue,16,SMA 1,Agency 2,Tripura,South + Union Territories,Energy,Mortgage Loan
1243,193913,80525,R95493918147195Z,Yavsmw Arnynm,16,SMA 1,Agency 6,and the hill states of Himachal Pradesh,East + West India,Telecommunications,Overdraft Facility
1009,200221,154435,Q51076822543232T,Sthksg Efpyyh,17,SMA 1,Agency 5,Tripura,East + Northeast India,Telecommunications,Consumer Durable Loan
1640,81440,81439,P53808436171191I,Lyubhr Dkdxhr,13,SMA 1,Agency 2,and Sikkim,East + Central India,Automotive,Personal Loan
2314,240597,93109,Y55287356148252U,Jmihgy Admjlg,17,SMA 2,Agency 8,Chhattisgarh,East + Union Territories,Manufacturing,Overdraft Facility
860,213978,12063,Y65787828126588I,Vkkbgv Gexpzc,20,SMA 1,Agency 6,Madhya Pradesh,West + Northeast India,Finance,Education Loan
